校区,区域/类别,教室名,录入名称,类型,优先级,时间段开始,时间段结束,班容,,,备注
旗舰校,班课教室,开成,开成,班课教室,5,9:00,21:30,50,,,
旗舰校,班课教室,一桥,一桥,班课教室,5,9:00,21:30,50,,,
旗舰校,班课教室,幻门,幻门,班课教室,5,9:00,21:30,50,,,
旗舰校,班课教室,清风,清风,班课教室,3,9:00,21:30,50,,,
旗舰校,班课教室,赤门,赤门,班课教室,5,9:00,21:30,50,,,
旗舰校,班课教室,大隈,大隈,自习室,5,9:00,21:30,50,,,自习室
旗舰校,班课教室,樱门,樱门,,5,9:00,21:30,？,,,
旗舰校,班课教室,会议室,会议室,,3,9:00,21:30,2,,,
旗舰校,个别指导室,个别指导室1,个别指导室1,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
旗舰校,个别指导室,个别指导室2,个别指导室2,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
旗舰校,个别指导室,个别指导室3,个别指导室3,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
旗舰校,个别指导室,个别指导室4,个别指导室4,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
旗舰校,个别指导室,个别指导室5,个别指导室5,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
旗舰校,个别指导室,个别指导室6,个别指导室6,个别指导室,5,9:00,21:30,2,,,"空闲时优先排 1,3,5，防止旁边教室吵"
东京本校（板桥第二校舍）,教室,101,板二101,教室,5,9:30,21:00,30,,,(只有板桥学生校区去东京本校）
东京本校（板桥第二校舍）,教室,102,板二102,教室,5,9:30,21:00,30,,,
东京本校（板桥第二校舍）,教室,301,板二301,教室,5,9:30,21:00,30,,,
东京本校（板桥第二校舍）,教室,302,板二302,教室,5,9:30,21:00,30,,,
东京本校（板桥第二校舍）,自习教室,202,板二202,自习教室,3,9:30,21:00,30,,,
东京本校（板桥第二校舍）,事务所,201,板二201,事务所,3,9:30,21:00,2,,,
VIP中心,教室,401,401,VIP教室,3,9:00,21:30,2,,,优先度最低
VIP中心,教室,402,402,VIP教室,4,9:00,21:30,2,,,
VIP中心,教室,403,403,VIP教室,5,9:00,21:30,2,,,靠窗
VIP中心,教室,404,404,VIP教室,5,9:00,21:30,2,,,
VIP中心,教室,405,405,VIP教室,4,9:00,21:30,2,,,
VIP中心,教室,406,406,VIP教室,5,9:00,21:30,2,,,靠窗
高马本校,,奈良,奈良,教室,5,9:00,21:30,40,,,
高马本校,,镰仓,镰仓,教室,5,9:00,21:30,40,,,
高马本校,,金槐,金槐,教室,5,9:00,21:30,40,,,
高马本校,,荣花,荣花,教室,5,9:00,21:30,40,,,
高马本校,,万叶,万叶,教室,5,9:00,21:30,40,,,
高马本校,,平安,平安,教室,5,9:00,21:30,40,,,
online,,,,,,,,,,,